region_id,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
2101015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,44,99,6,7,13,0,0,0,0,0,0,0,0,0,3,0,3,3,3,6,67,54,121,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,21,10,31,8,10,18,0,0,0,102,74,176
2101016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,26,69,0,0,0,3,0,3,3,0,3,0,3,3,0,0,0,11,4,15,60,33,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,18,11,29,3,11,14,0,3,3,81,61,142
2101017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,54,104,5,7,12,3,0,3,3,0,3,0,0,0,0,0,0,3,3,6,64,64,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,12,24,6,6,12,0,0,0,85,82,167
2101018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,35,99,0,0,0,3,0,3,3,0,3,0,0,0,3,0,3,5,6,11,78,41,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,14,38,4,12,16,4,3,7,110,70,180
2101019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,57,121,3,4,7,3,0,3,3,0,3,3,0,3,3,0,3,0,0,0,79,61,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,7,15,22,0,4,4,89,87,176
2101020,3,0,3,3,3,6,0,0,0,0,0,0,0,0,0,90,66,156,5,3,8,0,0,0,0,0,0,0,3,3,0,0,0,3,3,6,104,78,182,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,8,23,31,3,3,6,121,109,230
2101021,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,30,16,46,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9,36,28,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,8,11,0,5,5,42,41,83
2101101,3,5,8,0,0,0,0,0,0,0,0,0,0,0,0,75,50,125,4,7,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,85,62,147,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,6,3,3,6,0,0,0,0,0,0,3,3,6,4,7,11,3,23,26,0,0,0,98,98,196
2101102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,28,60,0,3,3,0,0,0,0,0,0,0,0,0,3,0,3,6,0,6,41,31,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,14,4,13,17,3,0,3,55,51,106
2101103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,26,65,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,9,3,12,52,32,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,11,22,5,10,15,0,0,0,71,53,124
2101104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,29,66,4,0,4,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,47,29,76,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,3,3,0,0,0,0,0,0,0,3,3,6,7,13,4,8,12,0,0,0,60,50,110
2101105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,26,65,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,44,30,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,8,12,20,3,0,3,59,46,105
2101106,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,46,43,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,54,49,103,0,0,0,0,0,0,0,0,0,5,4,9,0,3,3,0,0,0,5,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,7,15,3,3,6,0,0,0,0,0,0,3,3,6,0,11,11,10,18,28,3,3,6,78,91,169
2101107,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,65,49,114,8,3,11,8,0,8,0,0,0,0,0,0,0,0,0,4,0,4,85,55,140,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,12,18,11,22,33,0,3,3,107,92,199
2101108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,31,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,29,36,65,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,9,12,10,10,20,3,0,3,48,55,103
2101109,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,27,30,57,7,3,10,4,0,4,0,0,0,0,0,0,0,0,0,5,3,8,43,39,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,6,0,6,5,10,15,3,6,9,3,0,3,60,55,115
2101110,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,44,23,67,3,3,6,6,0,6,0,0,0,0,0,0,0,0,0,3,3,6,59,29,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,18,6,24,8,12,20,0,3,3,85,53,138
2101111,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,42,47,89,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,48,56,104,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,8,11,5,9,14,0,0,0,61,73,134
2101112,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,70,68,138,0,9,9,3,0,3,0,0,0,0,0,0,3,0,3,14,8,22,93,85,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,22,16,24,40,0,0,0,123,117,240
2101113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,73,140,7,4,11,0,0,0,0,0,0,0,3,3,0,0,0,6,3,9,80,83,163,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11,9,12,21,0,0,0,96,102,198
2101114,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,41,38,79,3,6,9,3,0,3,0,0,0,0,0,0,3,0,3,3,8,11,53,55,108,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9,7,9,16,0,0,0,66,70,136
2101115,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,48,51,99,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,9,9,18,64,64,128,0,0,0,0,0,0,0,0,0,4,0,4,0,3,3,0,0,0,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,5,6,11,0,14,14,4,3,7,77,90,167
2101116,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,41,36,77,3,3,6,3,0,3,0,0,0,0,0,0,3,0,3,9,7,16,62,46,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,12,8,16,24,0,3,3,75,72,147
2101117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,41,91,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,6,4,10,59,49,108,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,7,8,15,6,0,6,80,64,144
2101118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,41,90,6,9,15,3,0,3,0,0,0,3,0,3,0,0,0,0,4,4,61,54,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,6,9,15,11,10,21,0,0,0,78,76,154
2101119,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,47,47,94,7,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,55,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,9,30,7,12,19,0,0,0,82,76,158
2101120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,37,81,7,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,41,92,0,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,13,8,21,5,14,19,0,0,0,72,66,138
2101121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,45,89,3,0,3,3,0,3,0,0,0,0,0,0,0,3,3,0,3,3,50,51,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,3,3,0,0,0,3,0,3,3,3,6,8,3,11,6,12,18,0,0,0,70,69,139
2101122,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,49,55,104,5,3,8,4,0,4,0,0,0,0,0,0,0,0,0,3,0,3,64,58,122,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,10,19,8,15,23,4,0,4,88,83,171
2101123,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,34,35,69,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,11,7,18,52,45,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,18,16,17,33,0,0,0,79,69,148
2101124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,30,62,3,5,8,0,0,0,0,0,0,3,0,3,3,0,3,3,0,3,44,35,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,10,23,3,6,9,3,0,3,66,51,117
2101125,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,67,48,115,3,5,8,4,0,4,0,0,0,0,0,0,3,0,3,3,3,6,83,56,139,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,0,4,4,0,4,15,12,27,4,12,16,0,0,0,106,83,189
2101201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,36,84,5,0,5,4,0,4,3,3,6,0,0,0,0,0,0,4,0,4,64,39,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12,4,12,16,0,0,0,74,57,131
2101202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,24,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,34,27,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,14,4,6,10,0,0,0,44,41,85
2101203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,66,137,3,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,77,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,5,0,0,0,0,0,0,3,0,3,3,0,3,4,5,9,9,11,20,0,0,0,95,93,188
2101204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,26,68,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,29,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,3,0,3,7,7,14,3,3,6,55,42,97
2101205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,51,116,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,51,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,8,19,27,4,0,4,85,73,158
2101206,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,54,46,100,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,68,49,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,5,7,12,3,3,6,83,64,147
2101207,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,50,36,86,4,5,9,3,0,3,0,0,0,0,0,0,0,0,0,0,4,4,60,45,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12,3,11,14,0,0,0,75,62,137
2101208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,32,84,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,60,35,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,4,8,12,3,3,6,0,3,3,67,52,119
2101209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,48,110,6,4,10,5,0,5,3,0,3,0,0,0,0,0,0,6,3,9,82,55,137,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9,10,8,18,0,3,3,101,73,174
2101210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,54,130,4,6,10,5,3,8,3,0,3,0,0,0,3,0,3,3,3,6,94,66,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,13,32,5,12,17,0,4,4,118,95,213
2101211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,39,103,3,5,8,4,0,4,0,0,0,0,0,0,0,0,0,5,0,5,76,44,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,9,45,10,19,29,0,0,0,122,72,194
2101212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,31,65,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,3,3,42,34,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,13,3,12,15,0,0,0,50,54,104
2101213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,47,111,10,9,19,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,80,56,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,17,4,8,12,3,0,3,93,75,168
2101214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,52,112,6,0,6,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,71,52,123,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,5,13,18,3,3,6,91,68,159
2101215,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,45,33,78,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,55,33,88,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,5,11,0,0,0,64,42,106
2101216,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,63,62,125,3,4,7,4,0,4,0,0,0,0,0,0,0,0,0,3,0,3,76,66,142,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,7,15,10,19,29,0,0,0,100,92,192
2101217,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,67,69,136,3,5,8,3,0,3,0,0,0,0,0,0,0,4,4,0,0,0,82,78,160,3,0,3,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,3,4,7,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,3,0,3,6,7,13,0,0,0,0,0,0,0,0,0,0,0,0,11,8,19,11,8,19,0,0,0,110,101,211
2101301,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,63,50,113,0,4,4,4,0,4,0,0,0,0,0,0,0,0,0,5,5,10,77,59,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,5,14,6,13,19,0,0,0,95,77,172
2101302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,26,57,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,3,0,3,39,26,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,6,9,15,0,0,0,48,38,86
2101303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,64,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,3,8,42,35,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,5,5,0,0,0,0,5,5,16,13,29,3,10,13,3,0,3,67,63,130
2101304,3,0,3,4,0,4,0,0,0,0,0,0,0,0,0,56,34,90,4,4,8,0,0,0,0,0,0,0,3,3,0,0,0,6,3,9,73,44,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,16,34,7,13,20,0,0,0,98,73,171
2101305,0,0,0,0,3,3,3,0,3,0,0,0,0,0,0,48,34,82,4,7,11,4,0,4,0,0,0,0,0,0,0,0,0,9,3,12,68,47,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,24,12,36,5,9,14,0,3,3,100,71,171
2101306,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,21,17,38,3,3,6,3,0,3,0,0,0,0,0,0,0,3,3,3,0,3,33,23,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,3,3,6,8,4,12,0,0,0,44,33,77
2101307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,19,44,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,33,19,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,18,0,7,7,0,0,0,44,33,77
